id,name,start,dist,up,down,end,type,surface,map,deprecated,neighborhoods,coarse_neighborhoods,start_neighborhood,end_neighborhood,transit
green-lake-loop,Green Lake Loop,GreenLake,2.8,91,,GreenLake,Loop,,https://onthegomap.com/s/9i7epe20,True,Green Lake,North Central,Green Lake,Green Lake,
green-lake-gas-works-ob,"OB: Green Lake Community Center, Gas Works",GreenLake,6.0,403,,GreenLake,OB,,https://onthegomap.com/s/5lmhn2pg,True,Wallingford;Phinney Ridge;Fremont;Green Lake,North Central,Green Lake,Green Lake,
green-lake-ravenna-burke-stone-loop,"Green Lake, Ravenna, Burke, Stone Way Loop",GreenLake,8.0,430,,GreenLake,Loop,,https://onthegomap.com/s/svphv9ji,True,University of Washington;Ravenna;Phinney Ridge;Roosevelt;Wallingford;Green Lake;University District;Fremont,University District;Northeast;North Central,Green Lake,Green Lake,
johnson-ridge-trail-sunrise-scorpion-ob,"OB: Johnson Ridge Trail, Sunrise Mountain, Scorpion Mountain",JRidgeTrail,8.2,3400,3400.0,JRidgeTrail,OB,Trail,https://onthegomap.com/s/f71fgke1,,non-Seattle,,non-Seattle,non-Seattle,
locks-ballard-bridge-loop,"Locks, Ballard Bridge Loop",Locks,3.5,156,,Locks,Loop,,https://onthegomap.com/s/53tu3r6p,,West Woodland;North Queen Anne;Interbay;Lawton Park;Ballard,Magnolia;Interbay;Queen Anne;Ballard,Ballard,Ballard,
locks-golden-gardens-ob,"OB: Locks, Golden Gardens",Locks,4.5,166,,Locks,OB,,https://onthegomap.com/s/bq66i80d,,Sunset Hill;Ballard,Ballard,Ballard,Ballard,
locks-discovery-loop,"Locks, Discovery Park Loop",Locks,6.2,950,,Locks,Loop,,https://onthegomap.com/s/6ntam7vl,,Interbay;Lawton Park;Ballard,Magnolia;Interbay;Ballard,Ballard,Ballard,
locks-fremont-bridge-loop,"Locks, Fremont Bridge Loop",Locks,6.3,257,,Locks,Loop,,https://onthegomap.com/s/3bafjrs7,,West Woodland;North Queen Anne;Interbay;Lawton Park;Ballard;Fremont,North Central;Interbay;Queen Anne;Ballard;Magnolia,Ballard,Ballard,
locks-discovery-radar-magnolia-discovery-ob,"OB: Locks, Discovery Radar, Magnolia, Discovery, Locks",Locks,7.9,990,,Locks,OB,,https://onthegomap.com/s/si9m6jpv,,Interbay;Briarcliff;Lawton Park;Ballard,Magnolia;Interbay;Ballard,Ballard,Ballard,
locks-discovery-salmon-bay-loop,"Locks, Discovery Park, Salmon Bay Loop",Locks,8.1,890,,Locks,Loop,,https://onthegomap.com/s/uop4tt1d,,West Woodland;North Queen Anne;Interbay;Lawton Park;Ballard,Magnolia;Interbay;Queen Anne;Ballard,Ballard,Ballard,
