stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
10940,10940,"10th Ave E & E Roanoke St","",47.6427994,-122.32016,1,,0,,America/Los_Angeles,1
10950,10950,"10th Ave E & E Miller St","",47.6411629,-122.32016,1,,0,,America/Los_Angeles,1
10970,10970,"10th Ave E & E Newton St","",47.6370277,-122.320183,1,,0,,America/Los_Angeles,1
10990,10990,"10th Ave E & E Galer St","",47.6321259,-122.320305,1,,0,,America/Los_Angeles,1
11010,11010,"10th Ave E & E Prospect St","",47.6288223,-122.32032,1,,0,,America/Los_Angeles,1
11011,11011,"Broadway  E & E Roy St","",47.625515,-122.32122,1,,0,,America/Los_Angeles,1
11012,11012,"E Aloha St & Broadway  E","",47.6267662,-122.320961,1,,0,,America/Los_Angeles,1
11025,11025,"Boren Ave & Jefferson St","",47.6060677,-122.322029,1,,0,,America/Los_Angeles,1
11030,11030,"E Roy St & Broadway  E","",47.625267,-122.320702,1,,0,,America/Los_Angeles,1
11033,11033,"Boren Ave & Marion St","",47.608429,-122.324188,1,,0,,America/Los_Angeles,1
11035,11035,"Boren Ave & Madison St","",47.6096344,-122.325294,1,,0,,America/Los_Angeles,1
11040,11040,"Broadway  E & E Republican St","",47.6228943,-122.321014,1,,0,,America/Los_Angeles,1
11050,11050,"Broadway  E & E Thomas St","",47.6208153,-122.320992,1,,0,,America/Los_Angeles,1
11060,11060,"Broadway & E Denny Way - Bay 4","",47.6185379,-122.320946,1,,0,,America/Los_Angeles,1
11070,11070,"Broadway & E Pine St","",47.6161919,-122.320923,1,,0,,America/Los_Angeles,1
11075,11075,"Boren Ave & Seneca St","",47.6103745,-122.32621,1,,0,,America/Los_Angeles,1
11080,11080,"E Pine St & Broadway","",47.615303,-122.321495,1,,0,,America/Los_Angeles,1
11085,11085,"Boren Ave & Madison St","",47.6089554,-122.324913,1,,0,,America/Los_Angeles,1
11087,11087,"Boren Ave & Columbia St","",47.6075935,-122.323669,1,,0,,America/Los_Angeles,1
11090,11090,"E Pine St & Belmont Ave","",47.6152878,-122.325127,1,,0,,America/Los_Angeles,1
111,111,"E Madison St & Martin L King Jr Way E","",47.6226578,-122.297264,1,,0,,America/Los_Angeles,1
1110,1110,"Pine St & 5th Ave","",47.6117668,-122.336456,21,,0,,America/Los_Angeles,1
11100,11100,"E Pine St & Bellevue Ave","",47.6152992,-122.327271,1,,0,,America/Los_Angeles,1
11130,11130,"Pike St & Convention Pl","",47.6123695,-122.33136,21,,0,,America/Los_Angeles,1
11133,11133,"Pike St & Minor Ave","",47.6137848,-122.327957,1,,0,,America/Los_Angeles,0
11140,11140,"E Pine St & Summit Ave","",47.6151581,-122.324638,1,,0,,America/Los_Angeles,1
11150,11150,"E Pine St & Harvard Ave","",47.6151619,-122.321617,1,,0,,America/Los_Angeles,1
11175,11175,"Broadway And Denny","",47.6180534,-122.320946,1,,0,,America/Los_Angeles,1
11180,11180,"Broadway  E & E John St - Bay 3","",47.6201553,-122.320786,1,,0,,America/Los_Angeles,1
11190,11190,"Broadway  E & E Harrison St","",47.6221962,-122.320816,1,,0,,America/Los_Angeles,1
11191,11191,"10th Ave E & E Mercer St","",47.623951,-122.319992,1,,0,,America/Los_Angeles,1
1120,1120,"Pine St & 4th Ave","",47.6111031,-122.338028,21,,0,,America/Los_Angeles,1
11200,11200,"Broadway  E & E Mercer St","",47.6246109,-122.320839,1,,0,,America/Los_Angeles,1
11230,11230,"10th Ave E & E Prospect St","",47.6288605,-122.320114,1,,0,,America/Los_Angeles,1
11250,11250,"10th Ave E & E Galer St","",47.6322136,-122.320099,1,,0,,America/Los_Angeles,1
11270,11270,"10th Ave E & E Howe St","",47.6362305,-122.319992,1,,0,,America/Los_Angeles,1
11290,11290,"10th Ave E & E Miller St","",47.641571,-122.319969,1,,0,,America/Los_Angeles,1
11300,11300,"E Roanoke St & Broadway  E","",47.643261,-122.320747,1,,0,,America/Los_Angeles,1
11330,11330,"Harvard Ave E & E Shelby St","",47.647171,-122.321999,1,,0,,America/Los_Angeles,1
11352,11352,"15th Ave NE & NE 42nd St","",47.6586685,-122.311905,1,,0,,America/Los_Angeles,1
11356,11356,"NE 45th St & 17th Ave NE","",47.6613274,-122.31012,1,,0,,America/Los_Angeles,1
11357,11357,"NE 45th St & 20th Ave NE","",47.6613274,-122.306923,1,,0,,America/Los_Angeles,1
11358,11358,"U District Station - Bay 2","",47.6613388,-122.313614,1,,0,,America/Los_Angeles,1
11370,11370,"15th Ave E & E Galer St","",47.6324997,-122.312607,1,,0,,America/Los_Angeles,1
11390,11390,"15th Ave E & E Prospect St","",47.628479,-122.312668,1,,0,,America/Los_Angeles,1
11400,11400,"15th Ave E & E Aloha St","",47.6266823,-122.312668,1,,0,,America/Los_Angeles,1
11410,11410,"15th Ave E & E Roy St","",47.6250267,-122.312698,1,,0,,America/Los_Angeles,1
11430,11430,"15th Ave E & E Republican St","",47.6228943,-122.312737,1,,0,,America/Los_Angeles,1
11480,11480,"E Pine St & 15th Ave","",47.6153564,-122.313255,1,,0,,America/Los_Angeles,1
11490,11490,"E Pine St & 13th Ave","",47.615345,-122.31591,1,,0,,America/Los_Angeles,1
11520,11520,"E Pine St & 12th Ave","",47.6152,-122.316483,1,,0,,America/Los_Angeles,1
11535,11535,"E Pine St & 15th Ave","",47.6152115,-122.311852,1,,0,,America/Los_Angeles,1
11565,11565,"15th Ave E & E Thomas St","",47.6207733,-122.312607,1,,0,,America/Los_Angeles,1
11566,11566,"15th Ave E & E Thomas St","",47.6206436,-122.312805,1,,0,,America/Los_Angeles,1
11569,11569,"15th Ave & E Pine St","",47.6156998,-122.312668,1,,0,,America/Los_Angeles,1
11570,11570,"15th Ave E & E Republican St","",47.622963,-122.312538,1,,0,,America/Los_Angeles,1
11590,11590,"15th Ave E & E Roy St","",47.6254234,-122.312492,1,,0,,America/Los_Angeles,1
11600,11600,"15th Ave E & E Aloha St","",47.6270981,-122.312469,1,,0,,America/Los_Angeles,1
11610,11610,"15th Ave E & E Prospect St","",47.6289024,-122.312454,1,,0,,America/Los_Angeles,1
11620,11620,"15th Ave E & E Highland Dr","",47.6308327,-122.312424,1,,0,,America/Los_Angeles,1
11630,11630,"Grandview Pl E & E Galer St","",47.6325226,-122.311821,1,,0,,America/Los_Angeles,1
11640,11640,"Grandview Pl E & E Garfield St","",47.634079,-122.311798,1,,0,,America/Los_Angeles,1
11680,11680,"Mount Rainier Dr S & S Hanford St","",47.5756569,-122.284843,1,,0,,America/Los_Angeles,1
11690,11690,"Mount Rainier Dr S & S Ridgeway Pl","",47.5765381,-122.28624,1,,0,,America/Los_Angeles,1
11700,11700,"S Mcclellan St & Lake Park Dr S","",47.5784073,-122.288605,1,,0,,America/Los_Angeles,1
11720,11720,"S Mcclellan St & 31st Ave S","",47.5784111,-122.292671,1,,0,,America/Los_Angeles,1
